奉节县草堂镇中心小学扩建工程（边坡及公厕）中标结果公告,奉节县草堂镇草堂小学,重庆吉禾建筑工程有限公司　,218.604405 ,"
				                【信息时间：2017-05-15】【字号 "
蔡家嘉陵江大桥工程施工,,,,"
				                【信息时间：2017-05-15】【字号 "
盘龙镇盘龙路建设工程中标结果公告,重庆市荣昌区盘龙镇人民政府,重庆昌州实业（集团）有限公司,171.593009,"
				                【信息时间：2017-05-15】【字号 "
渝北区洛碛镇自来水厂增压工程（施工）（第三次）中标结果公告,"
      ","
      ",,"
				                【信息时间：2017-05-16】【字号 "
天明组团P02-01/02部分地块平场及排水箱涵工程中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-05-17】【字号 "
荣昌区河包镇大刘路水泥路工程中标结果公告,重庆市荣昌区河包镇人民政府,中齐建设工程有限公司,247.669865,"
				                【信息时间：2017-05-17】【字号 "
马南大道（玉兰大道西段-温新立交）道路工程勘察招标公告中标结果公告,招标代理机构：北京市建壮咨询有限公司,重庆渝浩建筑设计研究院有限公司,27.95,"
				                【信息时间：2017-05-17】【字号 "
渝北区南华中学景观改造工程招标中标结果公告,,,,"
				                【信息时间：2017-05-18】【字号 "
重庆市儿童爱心庄园二期房屋改造项目,,,,"
				                【信息时间：2017-05-18】【字号 "
长寿区2016年全面改善义务教育薄弱学校 基本办学条件项目（葛兰镇初级中学运动场改造工程）中标结果公告,重庆市长寿公益工程建设管理有限公司,重庆乾和建筑工程有限公司,79.698255,"
				                【信息时间：2017-05-18】【字号 "
空港新城F26-1/02地块防护绿地景观工程中标结果公告,,,,"
				                【信息时间：2017-05-18】【字号 "
新建渝北粮食储备库项目EPC设计、采购、施工总承包（第二次）中标结果公告,,,,"
				                【信息时间：2017-05-18】【字号 "
潼南区上和镇防洪护岸综合治理工程（二期） 堤防段工程勘察设计中标结果公告,招标代理机构：,重庆同望水利水电工程设计有限公司,122.00,"
				                【信息时间：2017-05-18】【字号 "
奉节县生态工业园三期标准厂房工程设计中标结果公告,重庆奉节工业有限公司,重庆中迪创远建筑设计有限公司,68.98%,"
				                【信息时间：2017-05-18】【字号 "
奉节县生态工业园三期标准厂房工程地质勘察中标结果公告,重庆奉节工业有限公司,重庆长江勘测设计院有限公司,63.55%,"
				                【信息时间：2017-05-18】【字号 "
奉节县乡镇二三级污水管网工程（二期）监理一标段中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-05-18】【字号 "
奉节县乡镇二三级污水管网工程（二期）监理二标段中标结果公告,重庆奉节城市建设有限公司,重庆财汇工程管理有限公司,25.11,"
				                【信息时间：2017-05-18】【字号 "
奉节县乡镇二三级污水管网工程（二期）监理三标段中标结果公告,重庆奉节城市建设有限公司,重庆市永安工程建设监理有限公司,31.18,"
				                【信息时间：2017-05-18】【字号 "
奉节县乡镇二三级污水管网工程（二期）监理四标段中标结果公告,重庆奉节城市建设有限公司,诚信佳项目管理有限公司,25.333,"
				                【信息时间：2017-05-18】【字号 "
滨江新城圣泉周转房装饰装修工程中标结果公告,重庆市江津区滨江新城开发建设有限公司,重庆博达建设集团股份有限公司,641,"
				                【信息时间：2017-05-18】【字号 "
临江家居产业园项目（一期）设计中标结果公告,招标代理机构：四川三信建设咨询有限公司,重庆市工程设计院,,"
				                【信息时间：2017-05-18】【字号 "
忠县石宝镇新政等（2）个高标准农田建设项目整治项目中标结果公告,,,,"
				                【信息时间：2017-05-18】【字号 "
嘉华大桥南延伸段三期南段工程施工监理,,,,"
				                【信息时间：2017-05-18】【字号 "
临江家居产业园项目（一期）勘察中标结果公告,招标代理机构：四川三信建设咨询有限公司, ,,"
				                【信息时间：2017-05-18】【字号 "
天生城大遗址公园勘察招标,,,,"
				                【信息时间：2017-05-19】【字号 "
洛碛镇中心场镇提档升级项目监理中标结果公告,,,,"
				                【信息时间：2017-05-19】【字号 "
珞璜工业园渝黔铁路珞璜南站换乘枢纽配套工程（一期）招标中标结果公告,招标代理机构：北京市建壮咨询有限公司,重庆博达建设集团股份有限公司,5421.087244,"
				                【信息时间：2017-05-19】【字号 "
德感滨江路东段一期道路工程、滨州西路延伸段甩项工程、滨江新城何家祠堂滑坡治理工程、荷花路一期工程试验检测项目 招标公告中标结果公告,招标代理机构：北京国金管理咨询有限公司,重庆佳维建设工程质量检测有限公司,102.73,"
				                【信息时间：2017-05-19】【字号 "
黔小二级公路城区段道路拓宽工程监理中标结果公告, ,成都四方建设工程项目管理有限公司,/,"
				                【信息时间：2017-05-19】【字号 "
德感工业园德油路南段绿化景观工程招标公告中标结果公告,招标代理机构：,重庆市聚友建设工程有限公司,498.9818 ,"
				                【信息时间：2017-05-19】【字号 "
万州经开区高峰生态工业园主干道及管网工程（一期）—西经大道一期、高峰中路地质勘查,,,,"
				                【信息时间：2017-05-22】【字号 "
万州经开区高峰生态工业园污水处理厂工程（一期）暂估价设备采购,,,,"
				                【信息时间：2017-05-22】【字号 "
向阳庙大桥、大岚垭大桥整治工程中标结果公告,,,,"
				                【信息时间：2017-05-22】【字号 "
巫山县救灾物资储备仓库建设项目施工中标结果公告,招标代理机构：,重庆宜和建筑工程有限公司,,"
				                【信息时间：2017-05-22】【字号 "
巫山县笃坪乡垃圾压缩中转站工程中标结果公告,招标代理机构：,重庆远胜建筑工程有限公司,201.515093,"
				                【信息时间：2017-05-22】【字号 "
奉节县城市道路、管网整治及完善工程（四期）监理中标结果公告,重庆奉节城市建设有限公司,重庆永鑫工程项目管理有限公司,78.10%,"
				                【信息时间：2017-05-22】【字号 "
鱼子岗旅游度假区照明工程设计施工总承包（EPC）中标结果公告,招标代理机构：福建省建融工程咨询有限公司重庆分公司,深圳市千百辉照明工程有限公司,施工建安费下浮,"
				                【信息时间：2017-05-22】【字号 "
潼南城区连接田家镇公路工程勘察设计中标结果公告,重庆市潼南区交通建设投资有限公司,苏交科集团股份有限公司,412,"
				                【信息时间：2017-05-22】【字号 "
省道S443小渡至寿桥段改造工程勘察设计中标结果公告,重庆市潼南区交通建设投资有限公司,重庆路达工程勘察设计咨询有限公司,282.24,"
				                【信息时间：2017-05-22】【字号 "
重庆市江津区珞璜综合保税区项目市政路网及监管体系（联检办公大楼、展销中心、主卡口、联合查验区、检疫处理区）建设工程招标中标结果公告, ,重庆市宏贵建设有限公司,9443.244149,"
				                【信息时间：2017-05-22】【字号 "
开州区高山生态扶贫搬迁融资项目紫水乡至麻柳乡公路加宽整治工程（麻柳段）中标结果公告,重庆市开州区麻柳乡人民政府,江西省旺恺建设有限公司,257.023183 ,"
				                【信息时间：2017-05-22】【字号 "
城口县石溪河高观镇（香坪）段和岚天乡河段综合治理工程（项目二）中标结果公告,招标代理机构：,重庆兄弟建设有限公司,1786.606453,"
				                【信息时间：2017-05-22】【字号 "
重庆市三峡水利电力学校（教学综合大楼、实训大楼、地下车库及人防工程）-人防门设备采购及安装,,,,"
				                【信息时间：2017-05-23】【字号 "
菩提凤城渡舟片区道路综合整治工程（三标段）中标结果公告,招标代理机构：中信国际招标有限公司,重庆万林建筑工程有限公司,1311.145725,"
				                【信息时间：2017-05-23】【字号 "
双凤桥中队营房装饰改造项目中标结果公告,,,,"
				                【信息时间：2017-05-23】【字号 "
德感工业园德油路加油站至永进重机段绿化景观工程招标公告中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-05-23】【字号 "
